Channel_Group,Sessions,Engaged_Sessions,Engagement_Rate,Avg_Engagement_Time_Per_Session,Events_Per_Session,Event_Count,Key_Events,Session_Key_Event_Rate,Total_Revenue
Organic Search,2386,1779,0.7455993294216261,151.21123218776194,12.48575020955574,29791,120,0.0414920368818105,0
Direct,1514,602,0.3976221928665785,35.43659180977543,5.852708058124175,8861,58,0.035667107001321,0
Display,183,88,0.4808743169398907,8.497267759562842,4.245901639344262,777,0,0,0
Unassigned,162,63,0.3888888888888889,102.80246913580248,10.604938271604938,1718,14,0.0308641975308641,0
Organic Social,56,25,0.4464285714285714,1.6964285714285714,3.446428571428572,193,0,0,0
Referral,51,33,0.6470588235294118,69.90196078431373,6.313725490196078,322,5,0.0784313725490196,0
Paid Search,37,2,0.054054054054054,6.8108108108108105,3.135135135135135,116,0,0,0
Organic Video,27,21,0.7777777777777778,43.2962962962963,7.37037037037037,199,0,0,0
Cross-network,5,1,0.2,10.4,5.2,26,0,0,0
